"ID"	"HAUTEUR"	"sur_map"	"sur_int"	"LIBELLE"	"LIBELONG"	"TYPEZONE"
"BATIMENT0000000004281841"	2.8	23.2222	23.2222	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000004280720"	3	12.4242	12.4242	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000004280718"	7.6	379.241	379.241	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000334364876"	3	80.5841	80.5841	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334364877"	4.3	102.86	0.467969	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334364877"	4.3	102.86	102.396	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334364875"	10.1	1.76607	1.76607	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000334364811"	3.8	86.3708	86.3708	"UB"	"Secteur residentiel des bords de Marne"	"U"
"BATIMENT0000000212699230"	7.8	97.8349	97.8349	"URa"	"Secteurs strategiques de renouvellement a optimiser"	"U"
"BATIMENT0000000217047140"	5.4	63.1006	63.1006	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369098"	0	4.84537	4.84537	"UAb"	"Secteurs situes de part et d autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334369053"	14.7	112.405	112.405	"UAb"	"Secteurs situes de part et d autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334369094"	0	1.7982	0	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369094"	0	1.7982	1.7982	"UAb"	"Secteurs situes de part et d autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334361970"	4.6	92.6031	92.6031	"UAb"	"Secteurs situes de part et d?autre des axes a restructurer

(Av du General de Gaulle, bd Pierre Brossolette, av. Ledru Rollin / 8 mai 1945)"	"U"
"BATIMENT0000000334366219"	9.2	1588.54	1588.54	"UH"	"Centre historique a valoriser"	"U"
"BATIMENT0000000334366457"	0	25.1212	25.1212	"UH"	"Centre historique a valoriser"	"U"
"BATIMENT0000000334366941"	0	9.63502	9.63502	"UH"	"Centre historique a valoriser"	"U"
"BATIMENT0000000334369382"	4.7	1.70867	1.70867	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369383"	7.1	230.007	230.007	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369385"	5.5	1.89174	1.89174	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369387"	5	10.7361	10.7361	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369388"	4.7	39.6003	39.6003	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369412"	0	14.0882	14.0882	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369413"	5.4	167.879	167.879	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369675"	6.1	55.5799	55.5799	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
"BATIMENT0000000334369676"	4.6	142.046	142.046	"UM"	"Zones urbaines mixtes principalement residentielles"	"U"
